Year,Artist,Song,Peak_Pos_That_Year,Full_Release_Year
1990,Alannah Myles,Black Velvet,1,1990-01-03
1990,George Michael,Praying For Time,1,1990-08-29
1990,Glenn Medeiros Featuring Bobby Brown,She Ain't Worth It,1,1990-05-16
1990,James Ingram,I Don't Have The Heart,1,1990-08-01
1990,Janet Jackson,Black Cat,1,1990-09-12
1990,Janet Jackson,Escapade,1,1990-01-17
1990,Jon Bon Jovi,"Blaze Of Glory (From ""Young Guns II"")",1,1990-07-18
1990,Madonna,Vogue,1,1990-04-11
1990,Mariah Carey,Love Takes Time,1,1990-09-12
1990,Mariah Carey,Vision Of Love,1,1990-05-30
1990,Maxi Priest,Close To You,1,1990-06-27
1990,Michael Bolton,How Am I Supposed To Live Without You,1,1990-01-03
1990,Nelson,(Can't Live Without Your) Love And Affection,1,1990-07-04
1990,New Kids on the Block,Step By Step,1,1990-05-23
1990,Paula Abdul (Duet With The Wild Pair),Opposites Attract,1,1990-01-03
1990,Phil Collins,Another Day In Paradise,1,1990-01-03
1990,Roxette,"It Must Have Been Love (From ""Pretty Woman"")",1,1990-04-04
1990,Sinead O'Connor,Nothing Compares 2 U,1,1990-03-14
1990,Stevie B,Because I Love You (The Postman Song),1,1990-10-03
1990,Sweet Sensation,If Wishes Came True,1,1990-06-13
1990,Taylor Dayne,Love Will Lead You Back,1,1990-01-24
1990,Tommy Page,I'll Be Your Everything,1,1990-02-14
1990,Vanilla Ice,Ice Ice Baby,1,1990-09-05
1990,Whitney Houston,I'm Your Baby Tonight,1,1990-10-17
1990,Wilson Phillips,Hold On,1,1990-03-14
1990,Wilson Phillips,Release Me,1,1990-06-27
1990,Alias,More Than Words Can Say,2,1990-09-05
1990,Bette Midler,From A Distance,2,1990-10-03
1990,Billy Idol,"Cradle Of Love (From ""Ford Fairlane"")",2,1990-05-02
1990,Calloway,I Wanna Be Rich,2,1990-02-07
1990,En Vogue,Hold On,2,1990-05-02
1990,Heart,All I Wanna Do Is Make Love To You,2,1990-03-28
1990,Jane Child,Don't Wanna Fall In Love,2,1990-02-07
1990,Janet Jackson,Come Back To Me,2,1990-06-27
1990,Janet Jackson,Rhythm Nation,2,1990-01-03
1990,M.C. Hammer,Pray,2,1990-09-26
1990,Madonna,Justify My Love,2,1990-11-14
1990,Roxette,Dangerous,2,1990-01-03
1990,Seduction,Two To Make It Right,2,1990-01-03
1990,Snap!,The Power,2,1990-05-09
1990,Technotronic Featuring Felly,Pump Up The Jam,2,1990-01-03
1990,Bell Biv DeVoe,Do Me!,3,1990-06-27
1990,Bell Biv DeVoe,Poison,3,1990-04-04
1990,Johnny Gill,Rub You The Right Way,3,1990-05-09
1990,Linda Ronstadt (Featuring Aaron Neville),Don't Know Much,3,1990-01-03
1990,Lisa Stansfield,All Around The World,3,1990-01-31
1990,Michael Bolton,How Can We Be Lovers,3,1990-02-28
1990,Phil Collins,I Wish It Would Rain Down,3,1990-01-31
1990,Poison,Unskinny Bop,3,1990-07-04
1990,Rod Stewart,Downtown Train,3,1990-01-03
1990,The B-52s,Roam,3,1990-01-03
1990,Aerosmith,Janie's Got A Gun,4,1990-01-03
1990,Deee-Lite,Groove Is In The Heart,4,1990-09-12
1990,Janet Jackson,Alright,4,1990-04-04
1990,Jody Watley,Everything,4,1990-01-03
1990,M.C. Hammer,Have You Seen Her,4,1990-06-27
1990,Milli Vanilli,All Or Nothing,4,1990-01-03
1990,Pebbles,Giving You The Benefit,4,1990-08-15
1990,Phil Collins,Do You Remember?,4,1990-04-25
1990,Phil Collins,Something Happened On The Way To Heaven,4,1990-08-01
1990,Poison,Something To Believe In,4,1990-10-03
1990,Taylor Dayne,I'll Be Your Shelter,4,1990-05-02
1990,Wilson Phillips,Impulsive,4,1990-10-10
1990,Bad English,Price Of Love,5,1990-01-03
1990,Chicago,What Kind Of Man Would I Be?,5,1990-01-03
1990,DNA Featuring Suzanne Vega,Tom's Diner,5,1990-10-03
1990,Linear,Sending All My Love,5,1990-02-14
1990,Taylor Dayne,With Every Beat Of My Heart,5,1990-01-03
1990,After 7,Can't Stop,6,1990-07-25
1990,Babyface,Whip Appeal,6,1990-02-21
1990,Billy Joel,I Go To Extremes,6,1990-01-10
1990,Damn Yankees,High Enough,6,1990-09-19
1990,Dino,Romeo,6,1990-08-08
1990,Gloria Estefan,Here We Are,6,1990-01-03
1990,Lou Gramm,Just Between You And Me,6,1990-01-03
1990,Luther Vandross,Here And Now,6,1990-01-03
1990,Prince,Thieves In The Temple,6,1990-08-01
1990,Skid Row,I Remember You,6,1990-01-03
1990,Tyler Collins,Girls Nite Out,6,1990-04-25
1990,UB40,The Way You Do The Things You Do,6,1990-09-12
1990,After 7,Ready Or Not,7,1990-03-28
1990,Michael Bolton,When I'm Back On My Feet Again,7,1990-05-23
1990,Michel'le,No More Lies,7,1990-01-03
1990,New Kids on the Block,This One's For The Children,7,1990-01-03
1990,New Kids on the Block,Tonight,7,1990-08-01
1990,Technotronic,Get Up! (Before The Night Is Over),7,1990-01-24
1990,Tom Petty,Free Fallin',7,1990-01-03
1990,Black Box,Everybody Everybody,8,1990-08-01
1990,Cher,Just Like Jesse James,8,1990-01-03
1990,Depeche Mode,Enjoy The Silence,8,1990-04-11
1990,George Michael,Freedom,8,1990-10-24
1990,Go West,"King Of Wishful Thinking (From ""Pretty Woman"")",8,1990-05-16
1990,Kiss,Forever,8,1990-01-31
1990,M.C. Hammer,U Can't Touch This,8,1990-04-25
1990,Madonna,Keep It Together,8,1990-01-31
1990,Motley Crue,Without You,8,1990-02-21
1990,Paul Young,Oh Girl,8,1990-07-11
1990,The Cover Girls,We Can't Go Wrong,8,1990-01-03
1990,A'me Lorain,"Whole Wide World (From ""True Love"")",9,1990-01-17
1990,Aerosmith,What It Takes,9,1990-03-14
1991,Amy Grant,Baby Baby,1,1991-02-20
1991,Bryan Adams,(Everything I Do) I Do It For You,1,1991-06-26
1991,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),1,1991-01-02
1991,Color Me Badd,I Adore Mi Amor,1,1991-07-24
1991,EMF,Unbelievable,1,1991-04-10
1991,Extreme,More Than Words,1,1991-03-20
1991,Gloria Estefan,Coming Out Of The Dark,1,1991-01-23
1991,Hi-Five,I Like The Way (The Kissing Game),1,1991-02-20
1991,Janet Jackson,Love Will Never Do (Without You),1,1991-01-02
1991,Karyn White,Romantic,1,1991-08-14
1991,Londonbeat,I've Been Thinking About You,1,1991-02-06
1991,Madonna,Justify My Love,1,1991-01-02
1991,Mariah Carey,Emotions,1,1991-08-28
1991,Mariah Carey,I Don't Wanna Cry,1,1991-04-03
1991,Mariah Carey,Someday,1,1991-01-16
1991,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,Good Vibrations,1,1991-07-17
1991,Michael Bolton,When A Man Loves A Woman,1,1991-10-09
1991,Michael Jackson,Black Or White,1,1991-11-20
1991,P.M. Dawn,Set Adrift On Memory Bliss,1,1991-10-16
1991,Paula Abdul,Rush Rush,1,1991-05-08
1991,Paula Abdul,The Promise Of A New Day,1,1991-07-17
1991,Prince And The N.P.G.,Cream,1,1991-09-25
1991,Roxette,Joyride,1,1991-02-27
1991,Surface,The First Time,1,1991-01-02
1991,Timmy T.,One More Try,1,1991-01-02
1991,Whitney Houston,All The Man That I Need,1,1991-01-02
1991,Wilson Phillips,You're In Love,1,1991-02-06
1991,Amy Grant,Every Heartbeat,2,1991-06-12
1991,Boyz II Men,It's So Hard To Say Goodbye To Yesterday,2,1991-09-18
1991,Bryan Adams,Can't Stop This Thing We Started,2,1991-09-11
1991,Cathy Dennis,Touch Me (All Night Long),2,1991-02-27
1991,Color Me Badd,"I Wanna Sex You Up (From ""New Jack City"")",2,1991-04-03
1991,Jesus Jones,"""Right Here, Right Now""",2,1991-04-10
