Year,Artist,Song,Peak_Pos_That_Year,Full_Release_Year,Lyrics
1990,Alannah Myles,Black Velvet,1,1990-01-03,"Mississippi in the middle of a dry spell | Jimmie Rodgers on the Victrola up high | Mama's dancin' with baby on her shoulder | The sun is settin' like molasses in the sky |  | The boy could sing, knew how to move, everything | Always wanting more, he'd leave you longing for |  | Black velvet and that little boy's smile | Black velvet with that slow southern style | A new religion that'll bring ya to your knees | Black velvet if you please |  | Up in Memphis, the music's like a heatwave | White lightning, bound to drive you wild | Mama's baby's in the heart of every schoolgirl | ""Love Me Tender"" leaves 'em cryin' in the aisle |  | The way he moved, it was a sin, so sweet and true | Always wanting more, he'd leave you longing for |  | Black velvet and that little boy's smile | Black velvet with that slow southern style | A new religion that'll bring ya to your knees | Black velvet if you please |  | Every word of every song that he sang was for you | In a flash, he was gone, it happened so soon | What could you do? |  |  | Black velvet and that little boy's smile | Black velvet with that slow southern style | A new religion that'll bring ya to your knees | Black velvet if you please | Black velvet and that little boy's smile | Black velvet with that slow southern style | A new religion that'll bring ya to your knees | Black velvet if you please |  | If you please | If you please | If you please"
1990,George Michael,Praying For Time,1,1990-08-29,"These are the days of the open hand | They will not be the last | Look around now | These are the days of the beggars and the choosers | This is the year of the hungry man | Whose place is in the past | Hand in hand | With ignorance and legitimate excuses |  | The rich declare themselves poor | And most of us are not sure | If we have too much, but we'll take our chances | 'Cause God's stopped keeping score | I guess somewhere along the way | He must have let us all out to play | Turned his back, and all God's children | Crept out the back door |  | And it's hard to love | There's so much to hate | Hanging on to hope | When there is no hope to speak of | And the wounded skies above | Say it's much, much too late | Well, maybe we should all be praying for time |  | These are the days of the empty hand | Oh, you hold on to what you can | And charity | Is a coat you wear twice a year | This is the year of the guilty man | Your television takes a stand | And you find | That what was over there is over here |  | So you scream from behind your door | Say, ""What's mine is mine and not yours | I may have too much, but I'll take my chances | 'Cause God's stopped keeping score"" | And you cling to the things they sold you | Did you cover your eyes when they told you | That He can't come back | 'Cause He has no children to come back for? |  | It's hard to love | There's so much to hate | Hanging on to hope | When there is no hope to speak of | And the wounded skies above | Say it's much too late | So maybe we should all be praying for time"
1990,Glenn Medeiros Featuring Bobby Brown,She Ain't Worth It,1,1990-05-16,"Better make tracks fast on the double | The girl's jazzy, but she's nothing but trouble! |  | Take her where she wants to go | And every day you let her know | She's the one who's always on your mind | But she just got some attitude | Leads you on then leaves you blue | Can't you see she's really just a waste, of, time? |  | One day she'll treat you nice | Then she'll turn as cold as ice | But you think your love will win her in the end | Think again! |  | She ain't worth it, girl ain't worth it | All this grief that she's been putting you through (Ooh) | She ain't worth it, girl ain't worth it | Believe me (I know) | I know better than (Better than) | Better than (Bet-bet-better than you) |  | She gets you hot then leaves you cold | Keeps you waiting on the phone | 'Cause she know you'll always give her one, more, try | You're not the only boy in town | And she loves playing to the crowd | But tell me do you really like standing in line? |  | Give her everything you have | And all she does is make you sad | What she really wants to do is tell her friends | She did it again! |  | She ain't worth it, girl ain't worth it | All this grief that she's been putting you through (Ooh) | She ain't worth it, the girl ain't worth it | Believe me (I know) | I know better than (Better than) | Better than (Bet-bet-better than you) |  | I'd like to say | She used to be my girl | But that would be a lie (That would be a lie!) | 'Cause there's no one in this whole wide world | That could keep her satisfied | I know, 'cause I tried (Yo man) |  | One thing I hate is when a girl plays fake | And tries to make me late for another date | 'Cause I've tried to make you mine for the last time | So take this here as a diss and a goodbye | She ain't worth it even though she's on the high tip | She better get a grip, and get a grip quick | Fast in a hurry, 'cause I won't buckle | The girl's jazzy, but she's nothing but trouble! |  | Give her everything you have | And all she does is make you sad | What she really wants to do is tell her friends | She did it again! |  | She ain't worth it, girl ain't worth it | All this grief that she's been putting you through (Ooh) | She ain't worth it, the girl ain't worth it | Believe me (I know) | I know better than (Better than) | Better than (Bet-bet-better than you) | She ain't worth it, girl ain't worth it | All this grief that she's been putting you through (Ooh) | She ain't worth it, the girl ain't worth it (She's nothing but trouble) | Believe me (I know) | I know better than (Better than) | Better than (Bet-bet-better than you) |  | She ain't worth it, the girl ain't worth it | All this grief that she's been putting you (Putting you) | Putting you (Ooh) putting you through! | She ain't worth it, the girl ain't worth it (She's nothing but trouble) | Believe me (I know) | I know better than (Better than) | Better than (Bet-bet-better than you)"
1990,James Ingram,I Don't Have The Heart,1,1990-08-01,"Your face is beaming | You say it's 'cause you're dreaming | Of how good it's going to be | You say you've been around | And now you've finally found | Everything you wanted and needed in me |  | I don't have the heart | To hurt you | It's the last thing I wanna do | But I don't have the heart | To love you | Not the way you want me to |  | Inside I'm dying | To see you crying | How can I make you understand? | I care about you | So much about you, baby! | I'm trying to say this as gently as I can |  | 'Cause I don't have the heart | To hurt you | It's the last thing I wanna do | But I don't have the heart | To love you | Not the way you want me to |  | You're so trusting | And open | Hoping that love will start | But I don't have the heart | Oh, no! | I don't have the heart |  | I don't have the heart | To hurt you | It's the last thing I wanna do | But I don't have the heart | To love you | Not the way that you want me to |  | I don't have the heart | Ooh! | Baby, I don't have the heart! | I don't have the heart | I don't have the heart | Ooh! Ooh! | Baby, I don't have the heart! | I don't have the heart | I don't have the heart | I don't have the heart | I don't have the heart"
1990,Janet Jackson,Black Cat,1,1990-09-12,"All the lonely nights, I spend alone | Never 'round to love me, you're always gone | 'Cause you're hanging out, breaking the rules | Oh, the man has come lookin' for you | (You're a rebel now) |  Don't give a damn | (Always carrying on) |  With the gang | (I'm tryin' to tell you, boy) |  It's a mistake | (You won't realize) |  'Til it's too late |  | Don't understand why you insist | On ways of living such a dangerous life | Time after time, you stay away | And I just know that you're telling me lies |  | Black cat, nine lives, short days, long nights | Livin' on the edge, not afraid to die | Heartbeat, real strong, but not for long | Better watch your step or you're gonna die |  | You're so together, boy, but just at a glance | You'll do anything if given a chance | Scheming, planning lies to get what you need | So full of promises that you never keep | (Don't you tell yourself) |  That it's okay | (Sick and tired of) |  All of your games | (And you want me to stay) |  Ah, better change | (Makes no sense to me) |  Your crazy ways |  | Don't understand why you insist | On ways of living such a dangerous life | Time after time, you stay away | And I just know that you're telling me lies |  | Not afraid to die-ie, guitar |  |  | Black cat |  | Black cat | Man, I don't understand your ways | Livin' on the edge |  | Don't understand why you insist | On ways of living such a dangerous life | Time after time, you stay away | And I just know that you're telling me lies |  | Fellas | Black cat, nine lives, short days, long nights (Ah) | Livin' on the edge, not afraid to die |  (Talkin' 'bout the man) | Heartbeat, real strong, but not for long | Better watch your step or you're gonna die | Sing it up | Black cat, nine lives, short days, long nights |  (Yeah, yeah) | Livin' on the edge, not afraid to die |  (Come on and don't, don't you die) | Heartbeat, real strong, but not for long | Better watch your step or you're gonna die |  | Black cat | Livin' on the | Heartbeat | Better watch your step"
1990,Janet Jackson,Escapade,1,1990-01-17,"As I was walkin' by, saw you standin' there with a smile | Lookin' shy you caught my eye | Thought you'd want to hang for a while | Well, I'd like to be with you | And you know it's Friday, too | I hope you can find the time this weekend | To relax and unwind |  | My mind's tired, I've worked so hard all week (Ooh, all week) | I cashed my check, I'm ready to go | I promise you, I'll show you such a good time |  | Come on, baby, let's get away | Let's save our troubles for another day | Come go with me, we've got it made | Let me take you on an escapade | Let's go |  | ( | Escapade | ) We'll have a good time | ( | Escapade | ) Leave your worries behind | ( | Escapade | ) Well, you can be mine | ( | Escapade | ) An escapade |  | So don't hold back, just have a good time, yeah, yeah | We'll make the rules up as we go along | And break them all if we're not havin' fun |  | Come on, baby, let's get away (Ooh, ooh, ooh) | Let's save our troubles for another day (Ooh, ooh, ooh) | Come go with me, we've got it made (Ooh, ooh, ooh) | Let me take you on an escapade (On an escapade, baby) | Come on, baby, let's get away (Ooh, ooh, ooh) | Let's save our troubles for another day (Ooh, ooh, ooh) | Come go with me, we've got it made (Ooh, ooh, ooh) | Let me take you on an escapade | Let's go |  | Minneapolis! | Come on, now! |  | ( | Escapade | ) We'll have a good time | ( | Escapade | ) Leave your worries behind | ( | Escapade | ) Well, you can be mine | ( | Escapade | ) An escapade |  | My mind's tired, worked so hard (Ooh, ooh) | Worked so hard all week (Ooh, all week) | I just got paid, I've got it made, ready to go | I promise you, I'll show you such a good time |  | Come on, baby, let's get away (Baby, come on now) | Let's save our troubles for another day (Save it for another day) | Come go with me, we've got it made (Baby, come on, yeah) | Let me take you on an escapade (On an escapade, baby) | Take the escapade | Come on, baby, let's get away (Woo! Baby, come on now) | Let's save our troubles for another day (Save it for another day) | Come go with me, we've got it made (Go escapade) | Let me take you on an escapade | Let's go | Come on, baby, let's get away (Escapade, ooh) | Let's save our troubles for another day (Escapade, ooh) | Come go with me, we've got it made (Escapade, ooh) | Let me take you on an escapade (Escapade, ooh) | On an escapade, baby"
1990,Jon Bon Jovi,"Blaze Of Glory (From ""Young Guns II"")",1,1990-07-18,"I wake up in the morning and I raise my weary head | I've got an old coat for a pillow, and the earth was last night's bed | I don't know where I'm goin', only God knows where I've been | I'm a devil on the run, a six gun lover, a candle in the wind | Yeah |  | When you're brought into this world, they say you're born in sin | Well, at least they gave me somethin', I didn't have to steal or have to win | Well, they tell me that I'm wanted, yeah, I'm a wanted man | I'm a colt in your stable, I'm what Cain was to Abel, Mr. Catch-Me-If-You-Can |  | I'm goin' down in a blaze of glory | Take me now but know the truth | I'm goin' out in a blaze of glory | And, Lord, I never drew first, but I drew first blood | I'm no one's son, call me young gun |  | You ask about my conscience and I offer you my soul | You ask If I'll grow to be a wise man, well I ask if I'll grow old | You ask me if I've known love and what it's like to sing songs in the rain | Well, I've seen love come, I've seen it shot down, I've seen it die in vain |  | Shot down in a blaze of glory | Take me now but know the truth | 'Cause I'm goin' out in a blaze of glory | Lord, I never drew first but I drew first blood | I'm the devil's son, call me young gun |  |  | Each night I go to bed, I pray the Lord my soul to keep | No, I ain't lookin' for forgiveness, but before I'm six foot deep | Lord, I gotta ask a favor, and I hope you'll understand | 'Cause I've lived life to the fullest, let this boy die like a man | Starin' down a bullet, let me make my final stand |  | Shot down in a blaze of glory | Take me now but know the truth | I'm goin' out in a blaze of glory | Lord, I never drew first but I drew first blood | And I'm no one's son, call me young gun | I'm a young gun | Young gun | Young gun"
1990,Madonna,Vogue,1,1990-04-11,"Strike a pose | Strike a pose | Vogue (Vogue, vogue) | Vogue (Vogue, vogue) |  | Look around, everywhere you turn is heartache | It's everywhere that you go (Look around) | You try everything you can to escape | The pain of life that you know (Life that you know) | When all else fails and you long to be | Something better than you are today | I know a place where you can get away | It's called a dance floor, and here's what it's for, so |  | Come on, vogue (Vogue) | Let your body move to the music (Move to the music) | Hey, hey, hey | Come on, vogue (Vogue) | Let your body go with the flow (Go with the flow) | You know you can do it |  | All you need is your own imagination | So use it, that's what it's for (That's what it's for) | Go inside for your finest inspiration | Your dreams will open the door (Open up the door) | It makes no difference if you're black or white | If you're a boy or a girl | If the music's pumping, it will give you new life | You're a superstar, yes, that's what you are, you know it |  | Come on, vogue (Vogue) | Let your body groove to the music (Groove to the music) | Hey, hey, hey | Come on, vogue (Vogue, vogue) | Let your body go with the flow (Go with the flow) | You know you can do it |  | Beauty's where you find it | Not just where you bump and grind it | Soul is in the musical | That's where I feel so beautiful | Magical, life's a ball, so | Get up on the dance floor |  | Vogue (Vogue, vogue) | Let your body move to the music (Move to the music) | Hey, hey, hey | Come on, vogue (Vogue, vogue) | Let your body go with the flow (Go with the flow) | You know you can do it |  | Vogue (Vogue) | Beauty's where you find it (Move to the music) | Vogue (Vogue) | Beauty's where you find it (Go with the flow) |  | Greta Garbo and Monroe | Dietrich and DiMaggio | Marlon Brando, Jimmy Dean | On the cover of a magazine | Grace Kelly, Harlow, Jean | Picture of a beauty queen | Gene Kelly, Fred Astaire | Ginger Rogers dance on air | They had style, they had grace | Rita Hayworth gave good face | Lauren, Katharine, Lana too | Bette Davis, we love you | Ladies with an attitude | Fellas that were in the mood | Don't just stand there, let's get to it | Strike a pose, there's nothing to it | Vogue | Vogue |  | Ooh, you've got to | Let your body move to the music | Ooh, you've got to just | Let your body go with the flow | Ooh, you've got to | Vogue"
1990,Mariah Carey,Love Takes Time,1,1990-09-12,I had it all | But I let it slip away | Couldn't see I treated you wrong | Now I wander around | Feeling down and cold | Trying to believe that you're gone |  | Love takes time | To heal when you're hurting so much | Couldn't see that I was blind | To let you go | I can't escape the pain | Inside | 'Cause love takes time | I don't wanna be here | I don't wanna be here alone |  | Losing my mind | From this hollow in my heart | Suddenly I'm so incomplete | Lord I'm need you now | Tell me how to stop the rain | Tears are falling down endlessly |  | Love takes time | To heal when you're hurting so much | Couldn't see that I was blind | To let you go | I can't escape the pain | Inside | 'Cause love takes time | I don't wanna be here | I don't wanna be here alone |  | You might say that it's over | You might say that you don't care | You might say you don't miss me | You don't need me | But I know that you do and I feel that you do | Inside |  | Love takes time | To heal when you're hurting so much | Couldn't see that I was so blind | To let you go | I can't escape the pain | Inside | 'Cause love takes time | I don't wanna be there | I don't wanna be there alone
1990,Mariah Carey,Vision Of Love,1,1990-05-30,"Treated me kind | Sweet destiny | Carried me through desperation | To the one that was waiting for me | It took so long | Still I believed | Somehow the one that I needed | Would find me eventually |  | I had a vision of love | And it was all that you've given to me |  | Prayed through the nights | Felt so alone | Suffered from alienation | Carried the weight on my own | Had to be strong | So I believed | And now I know I've succeeded | In finding the place I conceived |  | I had a vision of love | And it was all that you've given to me | I had a vision of love | And it was all that you've given me |  | I've realized the dream | And I visualized | The love that came to be | Feel so alive | I'm so thankful that I've received | The answer that heaven has sent down to me |  | You treated me kind (Yeah) | Sweet destiny (And you know that you did; oh) | And I'll be eternally grateful | Holding you so close to me | (Prayed through the nights) Prayed through the nights | (So faithfully) So faithfully (Faithfully) | Knowing the one that I needed | Would find me eventually | (Knowing the one that I needed would find me) |  | I had a vision of love | And it was all that you've given to me | I had a vision of love | And it was all | That you turned out to be, yeah, mhm, mmm"
